Week_Index,Partner,SKU,Category,Planned_Units,Planned_Revenue,Planned_GM_Dollars
1,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
1,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
1,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
1,NuOrder_Direct,SKU00470,Seasonal Capsule,7,655.13,339.78
1,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
1,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
2,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
2,NuOrder_Direct,SKU00161,Graphic Tees,13,260.39,147.81
2,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
2,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
2,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
2,NuOrder_Direct,SKU00343,Women's Denim,1,41.95,22.03
2,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
2,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
2,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
2,NuOrder_Direct,SKU00470,Seasonal Capsule,6,561.54,291.24
2,NuOrder_Direct,SKU00556,Graphic Tees,4,53.4,32.4
2,NuOrder_Direct,SKU00567,Graphic Tees,8,239.2,151.12
3,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
3,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
3,NuOrder_Direct,SKU00161,Graphic Tees,11,220.33,125.07
3,NuOrder_Direct,SKU00218,Accessories,2,54.34,34.14
3,NuOrder_Direct,SKU00245,Men's Denim,3,183.09,87.27
3,NuOrder_Direct,SKU00272,Loungewear,6,168.78,95.88
3,NuOrder_Direct,SKU00273,Loungewear,1,28.16,16.1
3,NuOrder_Direct,SKU00343,Women's Denim,2,83.9,44.06
3,NuOrder_Direct,SKU00345,Graphic Tees,2,44.9,27.74
3,NuOrder_Direct,SKU00358,Outerwear,3,331.95,151.17
3,NuOrder_Direct,SKU00360,Outerwear,2,254.08,123.7
3,NuOrder_Direct,SKU00378,Men's Denim,2,102.24,49.72
3,NuOrder_Direct,SKU00393,Graphic Tees,5,103.4,60.1
3,NuOrder_Direct,SKU00417,Aerie Intimates,2,40.84,23.74
3,NuOrder_Direct,SKU00460,Men's Denim,1,59.31,31.79
3,NuOrder_Direct,SKU00470,Seasonal Capsule,7,655.13,339.78
3,NuOrder_Direct,SKU00486,Seasonal Capsule,1,66.6,35.18
3,NuOrder_Direct,SKU00556,Graphic Tees,3,40.05,24.3
3,NuOrder_Direct,SKU00567,Graphic Tees,6,179.4,113.34
4,NuOrder_Direct,SKU00039,Activewear,1,27.12,13.82
4,NuOrder_Direct,SKU00130,Tops & Blouses,2,41.36,23.96
