Fiscal_Year,Week_Index,Season,Partner,Category,Planned_Units,Allocated_Units,Backorder_Units,Actual_Units,Actual_Revenue,Actual_GM_Dollars,Avg_Fill_Rate,Avg_Forecast_Accuracy,Avg_Markdown_Rate,Actual_GM_Pct
2024,1,Spring,Amazon,Accessories,4,4,0,4,106.2,65.8,1.0,1.0,0.023,0.62
2024,1,Spring,Amazon,Graphic Tees,11,11,0,11,142.89,85.14,1.0,0.9,0.027,0.596
2024,1,Spring,Amazon,Men's Denim,6,6,0,6,396.46,212.38,1.0,1.0,0.028999999999999998,0.536
2024,1,Spring,Amazon,Seasonal Capsule,1,1,0,1,64.56,33.14,1.0,1.0,0.031,0.513
2024,1,Spring,Amazon,Tops & Blouses,2,2,0,2,55.68,29.5,1.0,1.0,0.019,0.53
2024,1,Spring,Macy's,Accessories,3,3,0,3,79.5,49.2,1.0,1.0,0.025,0.619
2024,1,Spring,Macy's,Aerie Intimates,3,3,0,3,60.57,34.92,1.0,1.0,0.011,0.577
2024,1,Spring,Macy's,Graphic Tees,6,6,0,6,77.22,45.72,1.0,1.0,0.036,0.592
2024,1,Spring,Macy's,Men's Denim,6,6,0,6,400.34000000000003,216.26,1.0,1.0,0.023,0.54
2024,1,Spring,Macy's,Seasonal Capsule,13,13,0,13,1168.15,596.13,1.0,0.9615,0.025,0.51
2024,1,Spring,Macy's,Tops & Blouses,1,1,0,1,27.46,14.37,1.0,1.0,0.032,0.523
2024,1,Spring,Nordstrom,Accessories,2,2,0,2,53.18,32.98,1.0,1.0,0.021,0.62
2024,1,Spring,Nordstrom,Graphic Tees,4,4,0,3,39.45,23.7,1.0,0.75,0.015,0.601
2024,1,Spring,Nordstrom,Men's Denim,1,1,0,1,57.57,30.05,1.0,1.0,0.029,0.522
2024,1,Spring,Nordstrom,Seasonal Capsule,8,8,0,8,728.0,367.6,1.0,0.857,0.028,0.505
2024,1,Spring,Nordstrom,Tops & Blouses,1,1,0,1,28.08,14.99,1.0,1.0,0.011,0.534
2024,1,Spring,NuOrder_Direct,Accessories,2,2,0,2,53.5,33.3,1.0,1.0,0.016,0.622
2024,1,Spring,NuOrder_Direct,Aerie Intimates,2,2,0,2,39.88,22.78,1.0,1.0,0.024,0.571
2024,1,Spring,NuOrder_Direct,Graphic Tees,4,4,0,4,52.16,31.16,1.0,1.0,0.023,0.597
2024,1,Spring,NuOrder_Direct,Men's Denim,1,1,0,1,57.38,29.86,1.0,1.0,0.033,0.52
2024,1,Spring,NuOrder_Direct,Seasonal Capsule,8,8,0,8,703.48,356.71000000000004,1.0,1.0,0.024,0.507
2024,1,Spring,Zappos,Accessories,1,1,0,1,26.63,16.53,1.0,1.0,0.02,0.621
2024,2,Spring,Amazon,Accessories,16,16,0,16,287.97,172.9,1.0,0.875,0.0325,0.6
2024,2,Spring,Amazon,Graphic Tees,9,9,0,9,117.0,69.75,1.0,0.9,0.026,0.596
2024,2,Spring,Amazon,Men's Denim,17,17,0,17,1082.21,544.68,1.0,0.96425,0.026000000000000002,0.503
2024,2,Spring,Amazon,Outerwear,7,7,0,7,763.84,342.02,1.0,1.0,0.014,0.448
2024,2,Spring,Amazon,Seasonal Capsule,1,1,0,1,64.16,32.74,1.0,1.0,0.037,0.51
2024,2,Spring,Amazon,Tops & Blouses,2,2,0,2,55.58,29.4,1.0,1.0,0.021,0.529
2024,2,Spring,Amazon,Women's Denim,5,5,0,4,160.52,81.4,1.0,1.0,0.018,0.507
2024,2,Spring,Macy's,Accessories,11,11,0,11,193.73000000000002,116.47,1.0,0.9285,0.028499999999999998,0.601
2024,2,Spring,Macy's,Activewear,3,3,0,3,78.72,38.82,1.0,1.0,0.032,0.493
2024,2,Spring,Macy's,Aerie Intimates,2,2,0,2,40.24,23.14,1.0,1.0,0.015,0.575
2024,2,Spring,Macy's,Graphic Tees,42,42,0,42,894.83,524.4300000000001,1.0,0.9396666666666667,0.027,0.586
2024,2,Spring,Macy's,Men's Denim,13,13,0,13,824.27,410.4,1.0,1.0,0.03125,0.498
2024,2,Spring,Macy's,Outerwear,5,5,0,5,534.3,233.0,1.0,1.0,0.034,0.436
2024,2,Spring,Macy's,Seasonal Capsule,12,12,0,11,960.89,478.96999999999997,1.0,0.8845000000000001,0.0405,0.498
2024,2,Spring,Macy's,Tops & Blouses,1,1,0,1,27.34,14.25,1.0,1.0,0.037,0.521
2024,2,Spring,Macy's,Women's Denim,7,7,0,7,281.59000000000003,142.71,1.0,1.0,0.026000000000000002,0.507
2024,2,Spring,Nordstrom,Accessories,8,8,0,7,123.36,73.81,1.0,0.9165,0.0335,0.598
2024,2,Spring,Nordstrom,Activewear,1,1,0,1,26.08,12.78,1.0,1.0,0.038,0.49
2024,2,Spring,Nordstrom,Graphic Tees,32,32,0,29,615.78,360.54,1.0,0.8836666666666666,0.027999999999999997,0.586
2024,2,Spring,Nordstrom,Loungewear,1,1,0,1,27.81,15.75,1.0,1.0,0.013,0.566
2024,2,Spring,Nordstrom,Men's Denim,1,1,0,1,57.63,30.11,1.0,1.0,0.028,0.522
2024,2,Spring,Nordstrom,Outerwear,6,6,0,5,542.2,241.0,1.0,0.8335,0.0325,0.444
2024,2,Spring,Nordstrom,Seasonal Capsule,8,8,0,8,721.84,361.44,1.0,0.889,0.036,0.501
2024,2,Spring,Nordstrom,Tops & Blouses,1,1,0,1,28.0,14.91,1.0,1.0,0.013,0.532
2024,2,Spring,Nordstrom,Women's Denim,5,5,0,5,199.67000000000002,100.49,1.0,1.0,0.0335,0.503
2024,2,Spring,NuOrder_Direct,Accessories,2,2,0,2,51.96,31.76,1.0,1.0,0.044,0.611
2024,2,Spring,NuOrder_Direct,Activewear,1,1,0,1,26.59,13.29,1.0,1.0,0.019,0.5
